,donor,transconjugant
227,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 5, 'R_plasmid_molecule': 1}"
228,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 5, 'R_plasmid_molecule': 1}"
229,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 5, 'R_plasmid_molecule': 1}"
230,"{PetriNet('donor_0_net'): 1, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 5, 'R_plasmid_molecule': 1}"
231,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 5, 'R_plasmid_molecule': 1}"
232,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 5, 'R_plasmid_molecule': 1}"
233,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 5, 'R_plasmid_molecule': 1}"
234,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 5, 'R_plasmid_molecule': 1}"
235,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 5, 'R_plasmid_molecule': 1}"
236,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 5, 'R_plasmid_molecule': 1}"
237,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}"
238,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}"
239,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}"
240,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}"
241,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}"
242,"{PetriNet('donor_0_net'): 1, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}"
243,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}"
