,victim
115,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 615, 'TH_molecule': 698, 'B_molecule': 749, 'ANTIGEN_molecule': 449, 'MP_ANTIGEN_molecule': 10, 'B_ACTIVE_molecule': 41, 'B_PRESENTING_molecule': 9, 'VOID_molecule': 4, 'IGM_molecule': 4}"
116,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 613, 'TH_molecule': 706, 'B_molecule': 757, 'ANTIGEN_molecule': 447, 'MP_ANTIGEN_molecule': 1, 'B_ACTIVE_molecule': 46, 'B_PRESENTING_molecule': 9, 'VOID_molecule': 4, 'IGM_molecule': 8, 'MP_ACTIVE_molecule': 10}"
117,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 620, 'TH_molecule': 714, 'B_molecule': 756, 'ANTIGEN_molecule': 440, 'MP_ANTIGEN_molecule': 2, 'B_ACTIVE_molecule': 46, 'B_PRESENTING_molecule': 9, 'VOID_molecule': 5, 'MP_ACTIVE_molecule': 10, 'TH_ACTIVE_molecule': 1}"
118,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 628, 'TH_molecule': 721, 'B_molecule': 763, 'ANTIGEN_molecule': 437, 'MP_ANTIGEN_molecule': 2, 'B_ACTIVE_molecule': 50, 'B_PRESENTING_molecule': 10, 'VOID_molecule': 5, 'MP_ACTIVE_molecule': 10, 'TH_ACTIVE_molecule': 2, 'IGM_molecule': 5}"
119,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 635, 'TH_molecule': 720, 'B_molecule': 770, 'ANTIGEN_molecule': 431, 'MP_ANTIGEN_molecule': 3, 'B_ACTIVE_molecule': 55, 'B_PRESENTING_molecule': 10, 'VOID_molecule': 6, 'MP_ACTIVE_molecule': 10, 'TH_ACTIVE_molecule': 3, 'IGM_molecule': 5}"
120,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 642, 'TH_molecule': 727, 'B_molecule': 769, 'ANTIGEN_molecule': 429, 'MP_ANTIGEN_molecule': 4, 'B_ACTIVE_molecule': 54, 'B_PRESENTING_molecule': 11, 'VOID_molecule': 6, 'MP_ACTIVE_molecule': 10, 'TH_ACTIVE_molecule': 4, 'IGM_molecule': 3}"
121,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 650, 'TH_molecule': 734, 'B_molecule': 776, 'ANTIGEN_molecule': 428, 'MP_ANTIGEN_molecule': 4, 'B_ACTIVE_molecule': 58, 'B_PRESENTING_molecule': 9, 'VOID_molecule': 6, 'MP_ACTIVE_molecule': 10, 'TH_ACTIVE_molecule': 12, 'IGM_molecule': 6, 'B_MEMORY_molecule': 10, 'B_PLASMA_molecule': 10}"
122,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 657, 'TH_molecule': 741, 'B_molecule': 784, 'ANTIGEN_molecule': 424, 'MP_ANTIGEN_molecule': 5, 'B_ACTIVE_molecule': 62, 'B_PRESENTING_molecule': 10, 'VOID_molecule': 6, 'MP_ACTIVE_molecule': 10, 'TH_ACTIVE_molecule': 13, 'IGM_molecule': 9, 'B_MEMORY_molecule': 10, 'B_PLASMA_molecule': 9}"
123,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 656, 'TH_molecule': 748, 'B_molecule': 782, 'ANTIGEN_molecule': 417, 'MP_ANTIGEN_molecule': 5, 'B_ACTIVE_molecule': 66, 'B_PRESENTING_molecule': 8, 'VOID_molecule': 7, 'MP_ACTIVE_molecule': 10, 'TH_ACTIVE_molecule': 21, 'IGM_molecule': 6, 'B_MEMORY_molecule': 20, 'B_PLASMA_molecule': 19}"
124,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 663, 'TH_molecule': 747, 'B_molecule': 789, 'ANTIGEN_molecule': 413, 'MP_ANTIGEN_molecule': 6, 'B_ACTIVE_molecule': 70, 'B_PRESENTING_molecule': 6, 'VOID_molecule': 7, 'MP_ACTIVE_molecule': 10, 'TH_ACTIVE_molecule': 29, 'IGM_molecule': 9, 'B_MEMORY_molecule': 30, 'B_PLASMA_molecule': 30}"
125,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 670, 'TH_molecule': 746, 'B_molecule': 788, 'ANTIGEN_molecule': 405, 'MP_ANTIGEN_molecule': 7, 'B_ACTIVE_molecule': 75, 'B_PRESENTING_molecule': 3, 'VOID_molecule': 8, 'MP_ACTIVE_molecule': 10, 'TH_ACTIVE_molecule': 37, 'IGM_molecule': 6, 'B_MEMORY_molecule': 40, 'B_PLASMA_molecule': 48, 'IGG_molecule': 10}"
126,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 677, 'TH_molecule': 745, 'B_molecule': 795, 'ANTIGEN_molecule': 396, 'MP_ANTIGEN_molecule': 8, 'B_ACTIVE_molecule': 79, 'VOID_molecule': 10, 'MP_ACTIVE_molecule': 10, 'TH_ACTIVE_molecule': 45, 'B_MEMORY_molecule': 50, 'B_PLASMA_molecule': 58, 'IGG_molecule': 6, 'IGM_molecule': 4, 'B_PRESENTING_molecule': 1}"
127,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 684, 'TH_molecule': 744, 'B_molecule': 802, 'ANTIGEN_molecule': 391, 'MP_ANTIGEN_molecule': 9, 'B_ACTIVE_molecule': 84, 'VOID_molecule': 11, 'MP_ACTIVE_molecule': 10, 'TH_ACTIVE_molecule': 46, 'B_MEMORY_molecule': 50, 'B_PLASMA_molecule': 66, 'IGG_molecule': 10, 'IGM_molecule': 7, 'B_PRESENTING_molecule': 1}"
128,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 691, 'TH_molecule': 752, 'B_molecule': 810, 'ANTIGEN_molecule': 382, 'MP_ANTIGEN_molecule': 10, 'B_ACTIVE_molecule': 88, 'VOID_molecule': 13, 'MP_ACTIVE_molecule': 10, 'TH_ACTIVE_molecule': 47, 'B_MEMORY_molecule': 50, 'B_PLASMA_molecule': 74, 'IGG_molecule': 14, 'IGM_molecule': 4, 'B_PRESENTING_molecule': 2}"
129,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 699, 'TH_molecule': 759, 'B_molecule': 817, 'ANTIGEN_molecule': 381, 'MP_ANTIGEN_molecule': 10, 'B_ACTIVE_molecule': 92, 'VOID_molecule': 13, 'MP_ACTIVE_molecule': 10, 'TH_ACTIVE_molecule': 48, 'B_MEMORY_molecule': 50, 'B_PLASMA_molecule': 82, 'IGG_molecule': 20, 'IGM_molecule': 7, 'B_PRESENTING_molecule': 3}"
130,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 706, 'TH_molecule': 766, 'B_molecule': 824, 'ANTIGEN_molecule': 371, 'B_ACTIVE_molecule': 96, 'VOID_molecule': 15, 'MP_ACTIVE_molecule': 20, 'TH_ACTIVE_molecule': 49, 'B_MEMORY_molecule': 50, 'B_PLASMA_molecule': 90, 'IGG_molecule': 24, 'IGM_molecule': 5, 'B_PRESENTING_molecule': 4, 'MP_ANTIGEN_molecule': 1}"
131,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 713, 'TH_molecule': 774, 'B_molecule': 831, 'ANTIGEN_molecule': 364, 'B_ACTIVE_molecule': 100, 'VOID_molecule': 16, 'MP_ACTIVE_molecule': 20, 'TH_ACTIVE_molecule': 56, 'B_MEMORY_molecule': 60, 'B_PLASMA_molecule': 99, 'IGG_molecule': 19, 'IGM_molecule': 2, 'B_PRESENTING_molecule': 2, 'MP_ANTIGEN_molecule': 2}"
132,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 721, 'TH_molecule': 772, 'B_molecule': 830, 'ANTIGEN_molecule': 362, 'B_ACTIVE_molecule': 104, 'VOID_molecule': 16, 'MP_ACTIVE_molecule': 20, 'TH_ACTIVE_molecule': 57, 'B_MEMORY_molecule': 60, 'B_PLASMA_molecule': 100, 'IGG_molecule': 15, 'IGM_molecule': 5, 'B_PRESENTING_molecule': 3, 'MP_ANTIGEN_molecule': 2}"
133,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 719, 'TH_molecule': 770, 'B_molecule': 837, 'ANTIGEN_molecule': 353, 'B_ACTIVE_molecule': 109, 'VOID_molecule': 18, 'MP_ACTIVE_molecule': 20, 'TH_ACTIVE_molecule': 58, 'B_MEMORY_molecule': 60, 'B_PLASMA_molecule': 107, 'IGG_molecule': 20, 'B_PRESENTING_molecule': 3, 'MP_ANTIGEN_molecule': 3, 'IGM_molecule': 4}"
